Tempo (s),Temp Atual (C),Temp Desejada (C),PWM
1.04,26.02,30.00,0
2.06,26.10,30.00,0
3.09,26.10,30.00,0
4.11,26.10,30.00,195
5.14,26.19,30.00,191
6.16,26.02,30.00,200
7.19,26.19,30.00,191
8.21,26.10,30.00,196
9.24,26.10,30.00,196
10.26,26.10,30.00,196
11.29,26.10,30.00,197
12.31,26.02,30.00,201
13.34,26.10,30.00,197
14.37,26.10,30.00,197
15.39,26.10,30.00,197
16.42,26.02,30.00,202
17.44,26.10,30.00,198
18.47,26.10,30.00,198
19.49,26.10,30.00,198
20.52,26.10,30.00,198
21.54,26.10,30.00,199
22.57,25.93,30.00,208
23.60,26.10,30.00,199
24.62,25.66,30.00,221
25.65,26.19,30.00,195
26.67,25.75,30.00,217
27.70,26.19,30.00,195
28.73,26.10,30.00,200
29.75,26.10,30.00,200
30.78,26.10,30.00,200
31.80,26.02,30.00,205
32.83,25.66,30.00,223
33.85,26.10,30.00,201
34.88,26.10,30.00,201
35.90,26.28,30.00,192
36.93,26.19,30.00,197
37.96,26.10,30.00,202
38.98,26.19,30.00,197
40.01,26.10,30.00,202
41.03,26.19,30.00,198
42.06,26.10,30.00,203
43.09,26.19,30.00,198
44.11,25.75,30.00,221
45.14,26.10,30.00,203
46.16,26.10,30.00,203
47.19,26.46,30.00,186
48.21,26.19,30.00,199
49.24,26.19,30.00,199
50.27,26.19,30.00,200
51.29,26.19,30.00,200
52.32,26.19,30.00,200
53.34,26.19,30.00,200
54.37,26.19,30.00,200
55.39,26.19,30.00,201
56.42,26.19,30.00,201
57.45,26.28,30.00,197
58.47,26.28,30.00,197
59.50,26.19,30.00,201
60.52,26.37,30.00,193
61.55,26.19,30.00,202
62.57,26.37,30.00,193
63.60,26.28,30.00,198
64.62,26.37,30.00,193
65.65,26.28,30.00,198
66.68,26.73,30.00,176
67.70,26.28,30.00,198
68.73,26.28,30.00,199
69.75,26.37,30.00,194
70.78,26.37,30.00,195
71.80,26.37,30.00,195
72.83,26.37,30.00,195
73.86,26.37,30.00,195
74.88,26.37,30.00,195
75.91,26.46,30.00,191
76.93,26.46,30.00,191
77.96,26.46,30.00,191
78.98,26.46,30.00,192
80.01,26.46,30.00,192
81.04,26.55,30.00,188
82.06,26.46,30.00,192
83.09,26.46,30.00,192
84.11,26.55,30.00,188
85.14,26.55,30.00,188
86.16,26.55,30.00,188
87.19,26.55,30.00,189
88.21,26.55,30.00,189
89.24,26.91,30.00,171
90.27,26.64,30.00,185
91.29,26.64,30.00,185
92.32,26.64,30.00,185
93.34,26.64,30.00,185
94.37,26.73,30.00,181
95.39,26.64,30.00,186
96.42,26.82,30.00,177
97.45,26.73,30.00,181
98.47,26.37,30.00,199
99.50,26.73,30.00,182
100.52,26.82,30.00,177
101.55,26.73,30.00,182
102.57,26.73,30.00,182
103.60,26.82,30.00,178
104.63,26.82,30.00,178
105.65,26.82,30.00,178
106.68,26.91,30.00,174
107.70,26.46,30.00,196
108.73,26.91,30.00,174
109.76,26.91,30.00,174
110.78,26.91,30.00,175
111.81,26.82,30.00,179
112.83,26.99,30.00,170
113.86,27.08,30.00,166
114.88,26.99,30.00,171
115.91,27.08,30.00,166
116.94,27.17,30.00,162
117.96,26.82,30.00,180
118.99,26.99,30.00,171
120.01,27.17,30.00,163
121.04,27.17,30.00,163
122.06,27.08,30.00,167
123.09,27.17,30.00,163
124.12,27.26,30.00,159
125.14,27.17,30.00,163
126.17,27.26,30.00,159
127.19,27.17,30.00,164
128.22,27.26,30.00,159
129.25,27.26,30.00,159
130.27,27.26,30.00,160
131.30,27.26,30.00,160
132.32,27.26,30.00,160
133.35,27.35,30.00,156
134.37,27.35,30.00,156
135.40,27.35,30.00,156
136.43,27.44,30.00,151
137.45,27.44,30.00,152
138.48,27.44,30.00,152
139.50,27.44,30.00,152
140.53,27.53,30.00,147
141.55,27.53,30.00,148
142.58,27.53,30.00,148
143.61,27.53,30.00,148
144.63,27.53,30.00,148
145.66,27.53,30.00,148
146.68,27.62,30.00,144
147.71,27.62,30.00,144
148.73,27.71,30.00,139
149.76,27.62,30.00,144
150.79,27.62,30.00,144
151.81,27.89,30.00,131
152.84,27.08,30.00,171
153.86,27.71,30.00,140
154.89,27.71,30.00,140
155.91,27.71,30.00,140
156.94,27.80,30.00,136
157.97,27.80,30.00,136
158.99,27.80,30.00,136
160.02,27.80,30.00,136
161.04,27.80,30.00,136
162.07,27.89,30.00,132
163.10,27.98,30.00,128
164.12,27.98,30.00,128
165.15,27.89,30.00,132
166.17,27.98,30.00,128
167.20,27.98,30.00,128
168.22,27.98,30.00,128
169.25,28.07,30.00,124
170.27,27.98,30.00,128
171.30,27.98,30.00,128
172.33,28.07,30.00,124
173.35,28.07,30.00,124
174.38,28.16,30.00,120
175.40,28.07,30.00,124
176.43,28.16,30.00,120
177.46,28.16,30.00,120
178.48,28.16,30.00,120
179.51,28.25,30.00,116
180.53,28.25,30.00,116
181.56,28.25,30.00,116
182.58,28.25,30.00,116
183.61,28.34,30.00,111
184.63,28.34,30.00,112
185.66,28.34,30.00,112
186.69,28.34,30.00,112
187.71,28.34,30.00,112
188.74,28.80,30.00,89
189.76,28.43,30.00,107
190.79,28.43,30.00,108
191.81,28.43,30.00,108
192.84,28.43,30.00,108
193.87,28.52,30.00,103
194.89,28.52,30.00,103
195.92,28.52,30.00,103
196.94,28.52,30.00,103
197.97,28.61,30.00,99
198.99,28.61,30.00,99
200.02,28.07,30.00,126
201.05,28.61,30.00,99
202.07,28.71,30.00,95
203.10,28.61,30.00,99
204.12,28.98,30.00,81
205.15,28.71,30.00,95
206.18,28.71,30.00,95
207.20,28.71,30.00,95
208.23,28.89,30.00,86
209.25,28.71,30.00,95
210.28,28.80,30.00,91
211.30,28.80,30.00,91
212.33,28.89,30.00,86
213.35,28.98,30.00,82
214.38,28.89,30.00,86
215.41,28.89,30.00,86
216.43,28.89,30.00,87
217.46,28.89,30.00,87
218.48,28.98,30.00,82
219.51,28.89,30.00,87
220.53,28.98,30.00,82
221.56,29.07,30.00,78
222.58,28.61,30.00,100
223.61,28.98,30.00,82
224.64,29.07,30.00,78
225.66,29.07,30.00,78
226.69,29.25,30.00,69
227.71,29.07,30.00,78
228.74,29.07,30.00,78
229.77,29.07,30.00,78
230.79,29.16,30.00,74
231.82,29.16,30.00,74
232.84,29.16,30.00,74
233.87,29.16,30.00,74
234.89,29.25,30.00,69
235.92,29.25,30.00,69
236.94,29.16,30.00,74
237.97,29.25,30.00,69
239.00,29.25,30.00,69
240.02,29.71,30.00,46
241.05,29.25,30.00,69
242.07,29.34,30.00,65
243.10,29.34,30.00,65
244.12,29.34,30.00,65
245.15,29.34,30.00,65
246.18,29.43,30.00,60
247.20,29.34,30.00,65
248.23,29.43,30.00,60
249.25,29.43,30.00,61
250.28,29.43,30.00,61
251.30,29.43,30.00,61
252.33,29.53,30.00,56
253.36,29.43,30.00,61
254.38,29.53,30.00,56
255.41,29.53,30.00,56
256.43,29.53,30.00,56
257.46,29.53,30.00,56
258.48,29.62,30.00,52
259.51,29.71,30.00,47
260.54,29.62,30.00,52
261.56,29.62,30.00,52
262.59,29.62,30.00,52
263.61,29.71,30.00,47
264.64,29.80,30.00,43
265.66,29.62,30.00,52
266.69,29.71,30.00,47
267.71,29.71,30.00,47
268.74,29.89,30.00,38
269.77,29.80,30.00,43
270.79,29.71,30.00,47
271.82,29.71,30.00,47
272.84,29.71,30.00,47
273.87,29.89,30.00,38
274.89,29.80,30.00,43
275.92,29.80,30.00,43
276.95,29.80,30.00,43
277.97,29.80,30.00,43
279.00,29.80,30.00,43
280.02,29.80,30.00,43
281.05,29.89,30.00,38
282.08,29.89,30.00,38
283.10,29.89,30.00,38
284.13,29.89,30.00,38
285.15,29.89,30.00,38
