Tempo (s),Temp Atual (C),Temp Desejada (C),PWM
1.04,26.37,30.00,0
2.06,26.37,30.00,0
3.09,26.37,30.00,0
4.11,26.37,30.00,0
5.14,26.37,30.00,0
6.16,26.46,30.00,177
7.19,26.46,30.00,155
8.21,26.46,30.00,177
9.24,26.37,30.00,182
10.26,26.46,30.00,156
11.29,26.46,30.00,178
12.31,26.37,30.00,204
13.34,26.37,30.00,204
14.37,26.46,30.00,178
15.39,26.37,30.00,205
16.42,26.37,30.00,205
17.44,26.37,30.00,205
18.47,26.46,30.00,156
19.50,26.37,30.00,183
20.52,26.46,30.00,156
21.55,26.46,30.00,157
22.57,26.37,30.00,205
23.60,26.37,30.00,206
24.63,26.46,30.00,157
25.65,26.46,30.00,157
26.68,26.37,30.00,184
27.70,26.37,30.00,184
28.73,26.46,30.00,158
29.76,26.37,30.00,184
30.78,26.37,30.00,184
31.81,26.37,30.00,206
32.83,26.37,30.00,184
33.86,26.37,30.00,185
34.88,26.37,30.00,185
35.91,26.46,30.00,158
36.94,26.37,30.00,185
37.96,26.46,30.00,159
38.99,26.37,30.00,185
40.01,26.37,30.00,208
41.04,26.37,30.00,185
42.07,26.37,30.00,185
43.09,26.37,30.00,208
44.12,26.46,30.00,159
45.14,26.46,30.00,181
46.17,26.46,30.00,181
47.20,26.46,30.00,159
48.22,26.37,30.00,186
49.25,26.46,30.00,182
50.27,26.37,30.00,208
51.30,26.46,30.00,182
52.33,26.46,30.00,182
53.35,26.46,30.00,182
54.38,26.46,30.00,182
55.40,26.46,30.00,182
56.43,26.46,30.00,183
57.45,26.55,30.00,156
58.48,26.46,30.00,183
59.50,26.46,30.00,183
60.53,26.46,30.00,183
61.56,26.46,30.00,205
62.58,26.55,30.00,157
63.61,26.46,30.00,206
64.63,26.55,30.00,157
65.66,26.55,30.00,157
66.68,26.55,30.00,179
67.71,26.55,30.00,179
68.74,26.46,30.00,206
69.76,26.55,30.00,180
70.79,26.55,30.00,180
71.81,26.55,30.00,180
72.84,26.55,30.00,180
73.87,26.55,30.00,180
74.89,26.55,30.00,202
75.92,26.55,30.00,180
76.94,26.55,30.00,180
77.97,26.55,30.00,202
79.00,26.64,30.00,176
80.02,26.73,30.00,150
81.05,26.64,30.00,176
82.07,26.64,30.00,198
83.10,26.64,30.00,176
84.12,26.64,30.00,177
85.15,26.73,30.00,150
86.18,26.73,30.00,172
87.20,26.73,30.00,150
88.23,26.73,30.00,172
89.25,26.73,30.00,173
90.28,26.73,30.00,173
91.30,26.73,30.00,173
92.33,26.82,30.00,146
93.36,26.82,30.00,146
94.38,26.82,30.00,146
95.41,26.82,30.00,169
96.43,26.82,30.00,169
97.46,26.82,30.00,169
98.49,26.82,30.00,169
99.51,26.82,30.00,169
100.54,26.91,30.00,143
101.56,26.82,30.00,169
102.59,26.91,30.00,143
103.62,26.91,30.00,143
104.64,26.91,30.00,165
105.67,26.91,30.00,165
106.69,26.91,30.00,165
107.72,26.91,30.00,165
108.75,26.99,30.00,161
109.77,26.99,30.00,139
110.80,26.99,30.00,161
111.82,26.99,30.00,161
112.85,26.99,30.00,161
113.87,26.99,30.00,184
114.90,26.99,30.00,184
115.93,26.99,30.00,162
116.95,26.99,30.00,184
117.98,27.08,30.00,157
119.00,27.08,30.00,158
120.03,27.08,30.00,158
121.06,27.17,30.00,131
122.08,27.08,30.00,158
123.11,27.08,30.00,180
124.13,27.08,30.00,180
125.16,27.08,30.00,180
126.18,27.17,30.00,154
127.21,27.17,30.00,154
128.24,27.26,30.00,127
129.26,27.17,30.00,154
130.29,27.17,30.00,154
131.31,27.26,30.00,127
132.34,27.26,30.00,150
133.37,27.26,30.00,172
134.39,27.26,30.00,150
135.42,27.26,30.00,150
136.44,27.26,30.00,150
137.47,27.35,30.00,123
138.50,27.35,30.00,146
139.52,27.35,30.00,146
140.55,27.35,30.00,168
141.57,27.35,30.00,255
142.60,27.35,30.00,235
143.63,27.44,30.00,142
144.65,27.44,30.00,142
145.68,27.44,30.00,142
146.70,27.53,30.00,115
147.73,27.62,30.00,89
148.76,27.62,30.00,111
149.78,27.44,30.00,164
150.81,27.53,30.00,115
151.83,27.53,30.00,138
152.86,27.53,30.00,138
153.88,27.62,30.00,111
154.91,27.53,30.00,160
155.94,27.53,30.00,160
156.96,27.62,30.00,134
157.99,27.62,30.00,134
159.01,27.71,30.00,129
160.04,27.71,30.00,107
161.07,27.62,30.00,156
162.09,27.71,30.00,107
163.12,27.71,30.00,130
164.15,27.71,30.00,130
165.17,27.71,30.00,130
166.20,27.80,30.00,170
167.22,27.71,30.00,152
168.25,27.80,30.00,125
169.27,27.80,30.00,126
170.30,27.80,30.00,126
171.33,27.80,30.00,126
172.35,27.80,30.00,126
173.38,27.80,30.00,148
174.40,27.80,30.00,126
175.43,27.26,30.00,219
176.46,27.89,30.00,144
177.48,27.89,30.00,122
178.51,27.89,30.00,144
179.53,27.89,30.00,122
180.56,28.07,30.00,90
181.58,27.98,30.00,95
182.61,28.07,30.00,135
183.64,27.98,30.00,117
184.66,28.34,30.00,0
185.69,27.98,30.00,118
186.72,27.98,30.00,140
187.74,28.07,30.00,113
188.77,28.07,30.00,113
189.79,28.07,30.00,113
190.82,28.16,30.00,86
191.84,28.34,30.00,77
192.87,28.07,30.00,136
193.90,28.16,30.00,109
194.92,28.16,30.00,109
195.95,28.16,30.00,109
196.97,28.16,30.00,109
198.00,28.16,30.00,132
199.02,28.25,30.00,105
200.05,28.34,30.00,56
201.08,28.25,30.00,127
202.10,28.25,30.00,105
203.13,28.25,30.00,105
204.15,28.25,30.00,128
205.18,28.25,30.00,128
206.21,28.34,30.00,101
207.23,28.43,30.00,74
208.26,28.61,30.00,42
209.28,28.43,30.00,74
210.31,28.34,30.00,101
211.34,28.43,30.00,96
212.36,28.43,30.00,96
213.39,28.43,30.00,96
214.41,28.43,30.00,96
215.44,28.43,30.00,97
216.47,28.61,30.00,43
217.49,28.52,30.00,70
218.52,28.52,30.00,70
219.54,28.43,30.00,97
220.57,28.52,30.00,92
221.59,28.52,30.00,92
222.62,28.52,30.00,92
