Tempo (s),Temp Atual (C),Temp Desejada (C),PWM
1.04,26.64,30.00,0
2.06,26.64,30.00,0
3.09,26.73,30.00,0
4.11,26.55,30.00,0
5.13,26.73,30.00,0
6.16,26.64,30.00,0
7.18,26.82,30.00,0
8.21,26.82,30.00,142
9.23,26.73,30.00,165
10.26,26.82,30.00,143
11.28,26.73,30.00,183
12.31,26.73,30.00,183
13.34,26.82,30.00,143
14.36,26.46,30.00,231
15.39,26.73,30.00,183
16.41,26.82,30.00,179
17.44,26.73,30.00,166
18.46,26.73,30.00,166
19.49,26.73,30.00,166
20.52,26.82,30.00,144
21.54,26.73,30.00,167
22.57,26.73,30.00,167
23.59,26.73,30.00,185
24.62,26.73,30.00,167
25.65,26.46,30.00,234
26.67,26.82,30.00,163
27.70,26.73,30.00,150
28.72,26.82,30.00,146
29.75,26.73,30.00,168
30.77,26.73,30.00,168
31.80,26.73,30.00,168
32.83,26.73,30.00,169
33.85,26.82,30.00,147
34.88,26.73,30.00,134
35.90,26.82,30.00,147
36.93,26.82,30.00,165
37.96,26.91,30.00,125
38.98,26.99,30.00,104
40.01,26.82,30.00,148
41.03,26.82,30.00,148
42.06,26.82,30.00,148
43.09,26.73,30.00,188
44.11,26.73,30.00,170
45.14,26.73,30.00,188
46.16,26.73,30.00,189
47.19,26.82,30.00,166
48.22,26.73,30.00,189
49.24,26.73,30.00,189
50.27,26.64,30.00,211
51.29,26.82,30.00,167
52.32,26.91,30.00,145
53.35,26.82,30.00,114
54.37,26.82,30.00,185
55.40,26.82,30.00,96
56.42,26.82,30.00,168
57.45,26.82,30.00,186
58.47,26.82,30.00,168
59.50,26.82,30.00,168
60.53,26.82,30.00,169
61.55,26.82,30.00,169
62.58,26.55,30.00,235
63.61,26.82,30.00,169
64.63,26.82,30.00,169
65.66,26.91,30.00,147
66.68,26.64,30.00,125
67.71,26.91,30.00,165
68.73,26.91,30.00,165
69.76,26.91,30.00,166
70.79,26.99,30.00,144
71.81,26.99,30.00,161
72.84,27.08,30.00,68
