Tempo (s),Temp Atual (C),Temp Desejada (C),PWM
1.04,26.46,30.00,0
2.06,26.46,30.00,0
3.08,26.46,30.00,0
4.11,26.46,30.00,0
5.13,26.55,30.00,0
6.16,26.46,30.00,183
7.18,26.55,30.00,173
8.21,26.55,30.00,174
9.23,26.46,30.00,187
10.26,26.37,30.00,183
11.29,26.73,30.00,156
12.31,26.73,30.00,148
13.34,26.73,30.00,148
14.36,26.55,30.00,166
15.39,26.55,30.00,175
16.42,26.64,30.00,162
17.44,26.55,30.00,166
18.47,26.55,30.00,175
19.49,26.64,30.00,153
20.52,26.55,30.00,176
21.55,26.46,30.00,207
22.57,26.46,30.00,233
23.60,26.46,30.00,190
24.62,26.82,30.00,136
25.65,26.91,30.00,52
26.68,26.55,30.00,195
27.70,26.64,30.00,164
28.73,26.64,30.00,164
29.75,26.55,30.00,177
30.78,26.55,30.00,186
31.80,26.46,30.00,191
32.83,26.46,30.00,182
33.86,26.55,30.00,222
34.88,26.55,30.00,178
35.91,26.55,30.00,178
36.94,26.37,30.00,205
37.96,26.37,30.00,214
38.99,26.55,30.00,179
40.01,26.55,30.00,179
41.04,26.64,30.00,166
42.06,26.73,30.00,162
43.09,26.46,30.00,193
44.12,26.55,30.00,215
45.14,26.55,30.00,180
46.17,26.55,30.00,180
47.20,26.64,30.00,131
48.22,26.46,30.00,220
49.25,26.64,30.00,176
50.27,26.64,30.00,167
51.30,26.64,30.00,176
52.32,26.64,30.00,168
53.35,26.46,30.00,221
54.38,26.99,30.00,133
55.40,26.64,30.00,177
56.43,26.64,30.00,177
57.45,26.64,30.00,178
58.48,26.82,30.00,160
59.51,26.73,30.00,191
60.53,26.64,30.00,187
61.56,26.73,30.00,174
62.58,26.64,30.00,178
63.61,26.64,30.00,179
64.63,26.91,30.00,112
65.66,26.64,30.00,188
66.69,26.64,30.00,197
67.71,26.73,30.00,175
68.74,26.73,30.00,184
69.76,26.82,30.00,162
70.79,26.46,30.00,206
71.82,26.82,30.00,171
72.84,26.82,30.00,162
73.87,26.82,30.00,162
74.89,26.82,30.00,171
75.92,26.82,30.00,163
76.95,26.82,30.00,172
77.97,26.82,30.00,172
79.00,26.91,30.00,159
80.02,26.82,30.00,137
81.05,27.26,30.00,115
82.08,26.91,30.00,159
83.10,26.82,30.00,146
84.13,26.91,30.00,160
85.15,26.91,30.00,169
86.18,26.91,30.00,169
87.20,26.91,30.00,169
88.23,26.91,30.00,178
89.26,27.17,30.00,84
90.28,26.91,30.00,161
91.31,26.99,30.00,147
92.34,26.99,30.00,165
93.36,26.99,30.00,165
94.39,26.99,30.00,166
95.41,26.99,30.00,166
96.44,26.99,30.00,148
97.46,27.08,30.00,153
98.49,26.99,30.00,175
99.52,27.08,30.00,162
100.54,27.08,30.00,162
101.57,27.08,30.00,171
102.59,27.08,30.00,189
103.62,27.17,30.00,158
104.65,27.17,30.00,158
105.67,27.17,30.00,158
106.70,26.99,30.00,185
