Tempo (s),Temp Atual (C),Temp Desejada (C),PWM
1.04,26.82,30.00,0
2.06,26.64,30.00,0
3.09,26.55,30.00,0
4.11,26.73,30.00,0
5.13,26.73,30.00,0
6.16,26.82,30.00,0
7.18,26.73,30.00,166
8.21,26.73,30.00,166
9.23,26.64,30.00,171
10.26,26.73,30.00,167
11.28,26.73,30.00,167
12.31,26.37,30.00,185
13.34,26.73,30.00,168
14.36,26.73,30.00,168
15.39,26.73,30.00,168
16.41,26.73,30.00,169
17.44,26.73,30.00,169
18.46,26.73,30.00,169
19.49,26.64,30.00,174
20.51,26.73,30.00,170
21.54,26.73,30.00,170
22.57,26.82,30.00,166
23.59,26.82,30.00,166
24.62,26.64,30.00,176
25.64,26.37,30.00,189
26.67,26.73,30.00,172
27.70,26.37,30.00,190
28.72,26.73,30.00,173
29.75,26.64,30.00,177
30.77,26.73,30.00,173
31.80,26.73,30.00,174
32.82,26.73,30.00,174
33.85,26.73,30.00,174
34.88,26.73,30.00,175
35.90,26.91,30.00,166
36.93,26.91,30.00,166
37.95,26.73,30.00,176
38.98,26.64,30.00,180
40.00,26.73,30.00,176
41.03,26.73,30.00,177
42.05,26.73,30.00,177
43.08,26.73,30.00,177
44.11,26.73,30.00,178
45.13,26.82,30.00,173
46.16,26.82,30.00,174
47.18,26.73,30.00,179
48.21,26.82,30.00,175
49.23,26.82,30.00,175
50.26,26.82,30.00,175
51.29,26.82,30.00,175
52.31,26.73,30.00,180
53.34,27.17,30.00,158
54.36,26.82,30.00,176
55.39,26.99,30.00,168
56.41,26.82,30.00,177
57.44,26.82,30.00,177
58.47,26.82,30.00,178
59.49,26.82,30.00,178
60.52,26.99,30.00,170
61.54,26.73,30.00,183
62.57,26.91,30.00,175
63.59,26.91,30.00,175
64.62,26.91,30.00,175
65.64,26.91,30.00,176
66.67,26.82,30.00,180
67.70,27.08,30.00,167
68.72,26.99,30.00,172
69.75,26.91,30.00,177
70.77,26.91,30.00,177
71.80,26.91,30.00,178
72.82,26.91,30.00,178
73.85,26.91,30.00,178
74.88,26.99,30.00,174
75.90,26.99,30.00,174
76.93,26.91,30.00,179
77.95,26.99,30.00,175
78.98,26.91,30.00,180
80.00,26.99,30.00,176
81.03,26.99,30.00,176
82.06,26.99,30.00,176
83.08,26.99,30.00,176
84.11,27.08,30.00,172
85.13,27.08,30.00,173
86.16,26.99,30.00,177
87.18,27.08,30.00,173
88.21,27.26,30.00,165
89.24,27.08,30.00,174
90.26,27.08,30.00,174
91.29,27.08,30.00,174
92.31,27.17,30.00,170
93.34,27.17,30.00,171
94.36,27.17,30.00,171
95.39,27.17,30.00,171
96.41,27.17,30.00,171
97.44,27.17,30.00,172
98.47,27.26,30.00,167
99.49,27.17,30.00,172
100.52,27.17,30.00,173
101.54,27.53,30.00,155
102.57,27.35,30.00,164
103.60,26.91,30.00,187
104.62,27.35,30.00,165
105.65,27.26,30.00,169
